brand,action,id,model,page,summary
LUBI,ADDED,lubi_71_lbh_4a_v59_b_class_three_phase_2880_rpm_page_71,LBH-4A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_5_v59_b_class_three_phase_2880_rpm_page_71,LBH-5,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_5a_v59_b_class_three_phase_2880_rpm_page_71,LBH-5A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_6_v59_b_class_three_phase_2880_rpm_page_71,LBH-6,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_7_v59_b_class_three_phase_2880_rpm_page_71,LBH-7,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_8_v59_b_class_three_phase_2880_rpm_page_71,LBH-8,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_9_v59_b_class_three_phase_2880_rpm_page_71,LBH-9,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51c_v59_a_class_three_phase_1440_rpm_page_71,LBL-51C,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51d_v59_a_class_three_phase_1440_rpm_page_71,LBL-51D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51e_v59_a_class_three_phase_1440_rpm_page_71,LBL-51E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52c_v59_a_class_three_phase_1440_rpm_page_71,LBL-52C,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52d_v59_a_class_three_phase_1440_rpm_page_71,LBL-52D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52e_v59_a_class_three_phase_1440_rpm_page_71,LBL-52E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52f_v59_a_class_three_phase_1440_rpm_page_71,LBL-52F,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53d_v59_a_class_three_phase_1440_rpm_page_71,LBL-53D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53e_v59_a_class_three_phase_1440_rpm_page_71,LBL-53E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53g_v59_a_class_three_phase_1440_rpm_page_71,LBL-53G,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53h_v59_a_class_three_phase_1440_rpm_page_71,LBL-53H,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54_v59_a_class_three_phase_1440_rpm_page_71,LBL-54,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54a_v59_a_class_three_phase_1440_rpm_page_71,LBL-54A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54b_v59_a_class_three_phase_1440_rpm_page_71,LBL-54B,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54hh_v59_a_class_three_phase_1440_rpm_page_71,LBL-54HH,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_50cv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-50CV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_50ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-50EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51av_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51AV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51bv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51BV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51dv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51DV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52bv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52BV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52dv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52DV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
